ACETONIDO FLUOCINOLONA + SULFATO NEOMICINA + SULFATO DE POLIMIXINA B,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
ACETONIDO TRIANCINOLONA+AC. SALICILICO+CLORETO DE BENZALCONIO,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
ACETYLEN,ANALGESICOS,,,,
ACEVITON,VITAMINAS,ÁCIDO ASCÓRBICO,,,
ACEZO,SUPRESSORES DA REABSORCAO OSSEA,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,,,
ACEÍNA,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACFOL,ANTIANEMICOS,ÁCIDO FÓLICO,,,
ACHEFLAN,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,CORDIA VERBENACEA DC.,,,
ACICLOFAR,ANTIVIROTICOS,,,,
ACICLOMAX,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),CLORIDRATO DE VALACICLOVIR,,,
ACICLOMED,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),ACICLOVIR,,,
ACICLOR,ANTIVIROTICOS,ACICLOVIR,,,
ACICLOVAN,ANTIVIROTICOS,,,,
ACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
ACICLOVIR 250 MG,ANTIVIROTICOS,,,,
ACICLOVIR SODICO,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
ACIDALIC,ANALGESICOS NAO NARCOTICOS,,,,
ACIDERM,ANTIMICOTICOS PARA USO TOPICO,,,,
ACIDEX,ANTIACIDO,,,,
ACIDO ACELTILSALICILICO,ANALGESICOS,,,,
ACIDO ACETIL SALICILICO,ANALGESICOS NAO NARCOTICOS,,,,
ACIDO ACETIL SALICILICO TAMPONADO,ANALGESICOS,,,,
ACIDO ACETILSALICILICO,ANALGESICOS,,,,
ACIDO ACETILSALICILICO + ASSOCIACOES,ANALGESICOS CONTRA ENXAQUECA,,,,
ACIDO ACETILSALICILICO + BICARBONATO DE SODIO,ANALGESICOS,,,,
ACIDO ACETILSALICILICO ASSOCIADO,ANALGESICOS NAO NARCOTICOS,,,,
ACIDO ACETILSALICILICO DE LISINA,ANTIAGREGANTE PLAQUETARIO,,,,
ACIDO AMINOACETICO + ASSOCIACOES,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,,,,
ACIDO ASCORBICO,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACIDO ASCORBICO + ALFA-TOCOFEROL + BETACAROTENO + MINERAIS,POLIVITAMINICOS COM MINERAIS,,,,
ACIDO ASCORBICO + ASSOC,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ACIDO ASCORBICO + ASSOC.,POLIVITAMINICOS SEM MINERAIS,,,,
ACIDO ASCORBICO + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS,,,,
ACIDO ASCORBICO + NIACINA + ASSOC. POLIVITAMINAS,POLIVITAMINICOS COM MINERAIS,,,,
ACIDO ASCORBICO + PARACETAMOL + CLORIDRATO DE FENILEFRINA,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,,,,
ACIDO ASCORBICO+COMPLEXO B,POLIVITAMINICOS SEM MINERAIS,,,,
ACIDO ASCÓRBICO,MONOVITAMINAS EXCETO VITAMINA K,,,,
ACIDO BENZOICO + ASSOCIAÇÕES,ANTIMICOTICOS PARA USO TOPICO,,,,
ACIDO BENZOICO + IODETO DE POTASSIO +IODO,ANTIMICOTICOS PARA USO TOPICO,,,,
ACIDO BENZOICO/IODO/IODETO DE POTASSIO,ANTIMICOTICOS PARA USO TOPICO,,,,
ACIDO DEHIDROCOLICO + CLORETO DE COLINA + GLICOCOLA,DIGESTIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
ACIDO DEHIDROCOLICO+EXTRATO FITOTERAPICOS+FOSFATO SODIO,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES",,,,
ACIDO DIMERCAPTOSSUCCINICO,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
ACIDO DIMERCAPTOSUCCINICO,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
ACIDO FOLICO,ANTIANEMICOS,,,,
ACIDO FOLICO - EUROFARMA,ANTIANEMICOS SIMPLES,,,,
ACIDO FOLINICO,ANTIANEMICOS,,,,
ACIDO FÊNICO,PRODUTOS ODONTOLOGICOS,,,,
ACIDO L-GLUTAMICO + FENITOINA,ANTICONVULSIVANTES,,,,
ACIDO MEFENAMICO,ANTINFLAMATORIOS,,,,
ACIDO NALIDIXICO,ANTINFECCIOSOS,,,,
ACIDO ORTO-FENOLSULFONICO + RESORCINOL,ANTISSEPTICO,,,,
ACIDO SALICILICO,OUTROS PRODUTOS PARA REMOCAO DE IMPUREZAS DO TEGUMENTO,,,,
ACIDO SALICILICO + AC. BENZOICO + IODO MET. + IODETO  DE SODIO,ANTIMICOTICOS PARA USO TOPICO,,,,
ACIDO SALICILICO + ACIDO LATICO,CERATOLITICOS E CERATOPLASTICOS,,,,
ACIDO SALICILICO + CLORETO DE ZINCO,CERATOLITICOS E CERATOPLASTICOS,,,,
ACIDO TANICO+CANFORA+AMONIA+ETER ETILICO,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
ACIDO TRANEXAMICO,ANTIFIBRINOLITICOS,,,,
ACIDO UNDECILENICO  +  ASSOCIAÇOES,ANTIMICOTICOS PARA USO TOPICO,,,,
ACIDO VALPROICO,ANTICONVULSIVANTES,,,,
ACIDO ZOLEDRONICO,SUPRESSORES DA REABSORCAO OSSEA,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,,,
ACINIC,ANTILIPEMICOS,,,,
ACIVERAL,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
ACIVIRAX,ANTIVIROTICOS,ACICLOVIR,,,
ACLAF,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO,,,
ACLASTA,SUPRESSORES DA REABSORCAO OSSEA,ÁCIDO ZOLEDRÔNICO MONOIDRATADO,,,
ACNASE,PRODUTOS ANTI-ACNE,,,,
ACNASE GEL,PRODUTOS ANTI-ACNE,,,,
ACNIL,PRODUTOS ANTI-ACNE,ISOTRETINOÍNA,,,
ACNISON,PRODUTOS ANTI-ACNE,,,,
ACNOVA,PRODUTOS ANTI-ACNE,,,,
ACOG,,RIVAROXABANA,,,
ACOLITIUM,ANTIDEPRESSIVOS,,,,
ACOMPLIA,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
ACONVULSIN,ANTICONVULSIVANTES,,,,
ACOTERMON,ANALGESICOS CONTRA ENXAQUECA,,,,
ACRIDIN,ANTISSEPTICOS URINARIOS SIMPLES,,,,
ACTI-VALDA,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,,,,
ACTICALCIN,HORMONIO HIPOCALCEMICO,,,,
ACTIFEDRIN,ANTI-HISTAMINICOS SISTEMICOS,,,,
ACTILYSE,ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE,ALTEPLASE,,,
ACTIPROFEN,ANTINFLAMATORIOS,,,,
ACTIVE PLUS,,SENNA ALEXANDRINA MILL.,,,
ACTIVELLE,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
ACTONEL,SUPRESSORES DA REABSORCAO OSSEA,,,,
ACTONEL TRIO,SUPRESSORES DA REABSORCAO OSSEA,,,,
ACTOS,ANTIDIABETICOS,,,,
ACTOS  MET,ANTIDIABETICOS,,,,
ACTPARIN,ANTICOAGULANTES,,,,
ACU FRESH,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,CARMELOSE SÓDICA,,,
ACU FRESH G,EMOLIENTES E PROTETORES OFTALMICOS,CARMELOSE SÓDICA +  GLICEROL,,,
ACULAR,ANTINFLAMATORIOS,TROMETAMOL CETOROLACO ,,,
ACYCLO,ANTIVIROTICOS,,,,
AD - CÁLCIO,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO,,,,
AD FURP,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,COLECALCIFEROL +  PALMITATO DE RETINOL +  ÓXIDO DE ZINCO,,,
AD TIL,POLIVITAMINICOS SEM MINERAIS,,,,
AD-ELEMENT,NUTRIENTES PARENTERAIS,,,,
AD-MUC,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,MATRICARIA RECUTITA L.,,,
AD-TIL,POLIVITAMINICOS SEM MINERAIS,,,,
AD-VITAM,POLIVITAMINICOS SEM MINERAIS,ACETATO DE RETINOL +  COLECALCIFEROL,,,
ADACEL,VACINAS,,,,
ADACEL Polio,VACINAS,,,,
ADACNE,PRODUTOS ANTI-ACNE,ADAPALENO,,,
ADACNE CLIN,PRODUTOS ANTI-ACNE,ADAPALENO +  FOSFATO DE CLINDAMICINA,,,
ADACOR,ANTIANGINOSOS E VASODILATADORES,,,,
ADALAT,ANTIANGINOSOS E VASODILATADORES,,,,
ADALEX,ANTIANGINOSOS E VASODILATADORES,,,,
ADAPALENO,PRODUTOS ANTI-ACNE,,,,
ADAPEL,PRODUTOS ANTI-ACNE,,,,
ADAPTA,ANTIDEPRESSIVOS,,,,
ADAPTIS GEL,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,CARBÔMER 940,,,
ADCETRIS,ANTINEOPLASICO,BRENTUXIMABE VEDOTINA,,,
ADCIRCA,VASODILATADORES,,,,
ADDAVEN,NUTRIENTES PARENTERAIS,CLORETO CRÔMICO HEXAIDRATADO +  CLORETO CÚPRICO +  CLORETO DE ZINCO +  CLORETO FÉRRICO +  FLUORETO DE SÓDIO +  IODETO DE POTÁSSIO +  SELENITO DE SÓDIO +  DICLORETO DE MANGANÊS TETRAIDRATADO +  MOLIBDATO DE SÓDIO DIIDRATADO,,,
ADDERA D3,ANALOGO SINTETICO DA VITAMINA D,,,,
ADDITIVA VITAMINA C,MONOVITAMINAS EXCETO VITAMINA K,,,,
ADECUR,ANTI-HIPERTENSIVOS SIMPLES,,,,
ADEDERME,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,,,,
ADEDOIS,POLIVITAMINICOS SEM MINERAIS,,,,
ADEFORTE,POLIVITAMINICOS SEM MINERAIS,,,,
ADEGLÓS,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
ADEGRIP,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
ADEKS,POLIVITAMINICOS COM MINERAIS,,,,
ADELLE 20,ANTICONCEPCIONAIS,,,,
ADELLE 30,ANTICONCEPCIONAIS,,,,
ADEMETIONINA,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,,,,
ADENOCARD,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,ADENOSINA,,,
ADENON,MEDICAMENTOS DINAMIZADOS COMPOSTOS,BARYTA CARBONICA +  BERBERIS VULGARIS L. +  CALCAREA CARBONICA +  MERCURIUS SULPHURATUS RUBER,,,
ADENOSIA+ASSOCIAÇÕES,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,,,,
ADENOSINA,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,ADENOSINA,,,
ADENOSINA + ASSOCIAÇÕES,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES",,,,
ADENOSINA+ASSOCIAÇÕES,COLAGOGOS E COLERETICOS + HEPATOPROTETORES E LIPOTROPICOS,,,,
ADEPRESS,FITOTERAPICO SIMPLES,,,,
ADEROGIL D3,POLIVITAMINICOS SEM MINERAIS,,,,
ADEROGIL GOTAS,POLIVITAMINICOS SEM MINERAIS,,,,
ADEXIL,PROSTAGLANDINAS,,,,
ADFEN,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
ADILOZ,ANTIBIOTICOS SISTEMICOS SIMPLES,LINEZOLIDA,,,
ADINOS,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,DESONIDA,,,
ADINOS GEN,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,DESONIDA +  SULFATO DE GENTAMICINA,,,
ADIPEPT,ANTIACIDOS E ANTIULCEROSOS,PANTOPRAZOL,,,
ADIPINA,ANTIANGINOSOS E VASODILATADORES,,,,
ADLYV,ANALGESICOS NAO NARCOTICOS,IBUPROFENO,,,
ADMELOG,ANTIDIABETICOS,,,,
ADMENTA,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,,,,
ADNASAL,DESCONGESTIONANTES NASAIS TOPICOS,,,,
ADNAX,DESCONGESTIONANTES NASAIS TOPICOS,,,,
ADOLESS,ANTICONCEPCIONAIS,ETINILESTRADIOL +  GESTODENO,,,
ADORLAN,ANALGESICOS NARCOTICOS,CLORIDRATO DE TRAMADOL +  DICLOFENACO SÓDICO,,,
ADPREX,ANTIDEPRESSIVOS + FITOTERAPICO SIMPLES,,,,
ADRECON,GLICOCORTICOIDES SISTEMICOS,,,,
ADREN,MEDICAMENTOS C/ ACAO NO MIOCARDIO,EPINEFRINA,,,
ADRENALINA,VASOCONSTRITORES E HIPERTENSORES,,,,
ADRENOXIL,ANTI-HEMORRAGICOS,,,,
ADRENYL,BRONCODILATADORES,,,,
ADRIBLASTINA,ANTIBIOTICOS ANTINEOPLASICOS,,,,
ADROXIL,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
ADVANTAN,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
ADVATE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,,,,
ADVIDINE,ANTISSEPTICO,,,,
ADVIL,ANALGESICOS NAO NARCOTICOS,,,,
ADVIT,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
ADVNASAL,DESCONGESTIONANTES NASAIS TOPICOS,,,,
ADYNOVATE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,,,,
AEBOL,ANTIPSICOTICOS,,,,
AERO-PED,BRONCODILATADORES,,,,
AEROCLEAN,BRONCODILATADORES,,,,
AEROCORT S,ANTIASMATICOS,,,,
AERODILAT,BRONCODILATADORES,,,,
AERODINI,BRONCODILATADORES,SULFATO DE SALBUTAMOL,,,
AERODIOL,ESTROGENOS SIMPLES,,,,
AERODIVENT,BRONCODILATADORES,BROMETO DE IPRATRÓPIO,,,
AEROFLUX,EXPECTORANTES,,,,
AEROFRIN,BRONCODILATADORES,SULFATO DE SALBUTAMOL MICRONIZADO,,,
AEROGOLD,BRONCODILATADORES,,,,
AEROGREEN,BRONCODILATADORES,,,,
AEROJET,BRONCODILATADORES,,,,
AEROLIN,BRONCODILATADORES,,,,
AEROMED,BRONCODILATADORES,,,,
AERONAX,BRONCODILATADORES,,,,
AEROTAMOL,BRONCODILATADORES,,,,
AEROTIDE,GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
AEROTRAT,BRONCODILATADORES,SULFATO DE SALBUTAMOL,,,
AESCULUS HIPPOCASTANUM,FITOTERAPICO SIMPLES,,,,
AFINITOR,ANTINEOPLASICO,EVEROLIMO,,,
AFOLIC,ANTIANEMICOS SIMPLES,ÁCIDO FÓLICO,,,
AFOLIC INFANTIL,ANTIANEMICOS SIMPLES,ÁCIDO FÓLICO,,,
AFOPIC,ANTIANEMICOS,ÁCIDO FÓLICO,,,
AFRAT,SUPRESSORES DA REABSORCAO OSSEA,IBANDRONATO DE SÓDIO,,,
AFREZZA,ANTIDIABETICOS,INSULINA HUMANA,,,
AFRIN,DESCONGESTIONANTES NASAIS TOPICOS,,,,
AFRIN SALINE MIST,DESCONGESTIONANTES NASAIS TOPICOS,,,,
AFSTYLA,OUTROS PRODUTOS ANTI-HEMORRAGICOS,ALFALONOCTOCOGUE,,,
AFTINE,PRODUTOS PARA OROFARINGE,CLORIDRATO DE PROCAÍNA +  MENTOL +  SULFATO DE NEOMICINA +  TARTARATO DE BISMUTO E SÓDIO,,,
AFTJET,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,,,,
AFTODERM,ANTIMICOTICO,,,,
AGALAX,LAXANTES IRRITANTES OU ESTIMULANTES,,,,
AGAMIR,ANTIPARKINSONIANOS,,,,
AGAROL,LAXANTES IRRITANTES OU ESTIMULANTES,,,,
AGARORIO,LAXANTES,,,,
AGASTEN,ANTI-HISTAMINICOS SISTEMICOS,,,,
AGENERASE,ANTIVIROTICOS,,,,
AGEZAG,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
AGILISIN,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
AGINOTRICIN,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,,,,
AGIOFIBRA,FITOTERAPICO SIMPLES,,,,
AGIOLAX,LAXANTES INCREMENTADORES DO BOLO INTESTINAL,,,,
AGLICON-SOY,COADJUVANTE NO TRATAMENTO DO CLIMATERIO + FITOTERAPICO SIMPLES,,,,
AGLITIL,ANTIDIABETICOS,,,,
AGLIX,EXPECTORANTES + FITOTERAPICO SIMPLES,,,,
AGLUCOSE,ANTIDIABETICOS,ACARBOSE,,,
AGONIADA COMPOSTA FARMAERVAS,ANTIESPASMODICOS + FITOTERAPICO COMPOSTO + PRODUTOS COM ACAO UTERINA EXCLUSIVE PROTAGLANDINAS,,,,
AGOXOM,ANTIDEPRESSIVOS,AGOMELATINA,,,
AGRANGIO,VASODILATADORES,,,,
AGRASTAT,ANTIAGREGANTE PLAQUETARIO,,,,
AGREGADO DE ALBUMINA + ALBUMINA HUMANA,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
AGRIPIN,ANALGESICOS,,,,
AGRITOSS,EXPECTORANTES SIMPLES,,,,
AGRYLIN,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
AGUA BI-DESTILADA APIROGENICA,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
AGUA BIDESTILADA,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
AGUA BORICADA 3%,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
AGUA DESTILADA,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
AGUA DESTILADA ESTERIL E APIROGENICA,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
AGUA INGLESA CATARINENSE,FITOTERAPICO COMPOSTO,CINCHONA CALISAYA WEDD.,,,
AGUA OXIGENADA 10V,ANTISSEPTICO,,,,
AGUA PARA INJECAO,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
AGUA PARA INJECAO MADREVITA,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
AGUA PARA INJETAVEIS,DILUENTES E VEICULOS DE MEDICAMENTOS,ÁGUA PARA INJETÁVEIS,,,
AGUA PARA INJEÇAO,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
AGUA PARA INJEÇÃO,DILUENTES E VEICULOS DE MEDICAMENTOS,,,,
AGUARDENTE ALEMÃ,FITOTERAPICO COMPOSTO,,,,
AGUD,ANALGESICOS NARCOTICOS,FOSFATO DE CODEÍNA +  PARACETAMOL,,,
AH-ZUL,VASODILATADORES,,,,
AILUK,ANTIASMATICOS,DIPROPIONATO DE BECLOMETASONA,,,
AIMAFIX,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO",,,,
AINDA SR,DIURETICOS SIMPLES,,,,
AIPRI,ANTIPSICOTICOS,ARIPIPRAZOL,,,
AIRCLIN,GLICOCORTICOIDES SISTEMICOS,,,,
AIRES,EXPECTORANTES BALSAMICOS E MUCOLITICO,,,,
AITRAVIC,ANTIGLAUCOMATOSOS,,,,
AIXA,ANTICONCEPCIONAIS,,,,
AJOVY,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,FREMANEZUMABE,,,
AKALMESE,ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES,PASSIFLORA INCARNATA L.,,,
AKALURET,ANTIANGINOSOS E VASODILATADORES,,,,
AKINETON,ANTIPARKINSONIANOS,,,,
AKIROL,PRODUTOS ANTI-ACNE,,,,
AKSSUS,ANTINEOPLASICO,PACLITAXEL,,,
AKYNZEO,ANTIEMÉTICOS E ANTINAUSEANTES,CLORIDRATO DE PALONOSETRONA +  NETUPITANTO,,,
ALAGLU,NUTRIENTES PARENTERAIS,,,,
ALANDRE,PROGESTAGENOS SIMPLES,DIENOGESTE,,,
ALANTOINA + ACIDO BORICO+OXIDO DE ZINCO,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
ALANTOINA+AMINOACRIDINA+CLORIDRATO DE CINCHOCAINA+BENZOCAINA+SULF. DE,"PROTECAO, APARENCIA E CICATRIZACAO DA PELE E MUCOSAS",,,,
ALBA 3,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBEL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL,,,
ALBEMPHIL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBEN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBENDAL,ANTIPARASITARIOS,,,,
ALBENDAN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBENDAZOL 40 MG/ML SUSPENSÃO ORAL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL,,,
ALBENDOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBENDOXIL,ANTIPARASITARIOS,,,,
ALBENDROX,ANTIPARASITARIOS,,,,
ALBENDY,ANTIPARASITARIOS,,,,
ALBENIX,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBENTEL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBENZONIL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
ALBEZIN,ANTIPARASITARIOS,,,,
ALBICON,DEMULCENTES E OUTROS MEDS. USO ORAL P/ TRATAM. OROFARINGE,,,,
ALBISTIN,ANTIMICOTICO,NISTATINA,,,
ALBOCRESIL,PRODUTOS GINECOLOGICOS ANTINFECCIOSOS TOPICOS SIMPLES,,,,
ALBUMAX,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,ALBUMINA HUMANA,,,
ALBUMINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
ALBUMINA HUMANA 20%,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
ALBUMINA HUMANA 20% BIOTEST,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
ALBUMINA HUMANA BAXTER AG,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS,,,,
ALBUMINA HUMANA DE ORIGEM PLASMATICA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
ALBUMINA HUMANA DE ORIGEM PLASMATICA LFB,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
ALBUMINA HUMANA GRIFOLS,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,ALBUMINA HUMANA,,,
ALBUMINA HUMANA HEMOBRÁS,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO",ALBUMINA HUMANA,,,
ALBUMINA HUMANA PLASMATICA,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO",,,,
ALBUMINA SÉRICA HUMANA NORMAL,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
ALBUMINAR,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,,,,
ALBUNEX,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
ALBUREX 20,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS,,,,
ALCACHOFRA,FITOTERAPICO SIMPLES,,,,
ALCACHOFRA  BIONATUS,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCACHOFRA  HERBARIUM,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,CYNARA SCOLYMUS L.,,,
ALCACHOFRA AMAZON ERVAS,FITOTERAPICO SIMPLES,,,,
ALCACHOFRA ASPEN PHARMA,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.,,,
ALCACHOFRA BRASMED,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCACHOFRA COMPOSTA,COLAGOGOS E COLERETICOS + FITOTERAPICO COMPOSTO,,,,
ALCACHOFRA EC,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCACHOFRA FLORA MEDICINAL,FITOTERAPICO SIMPLES,,,,
ALCACHOFRA HERALD''S,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCACHOFRA MILIAN,FITOTERAPICO SIMPLES,,,,
ALCACHOFRA MULTILAB,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.,,,
ALCACHOFRA NATULAB,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,CYNARA SCOLYMUS L.,,,
ALCACHOFRA ORIENT,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCACHOFRA PURA CRONIN,FITOTERAPICO SIMPLES,,,,
ALCACHOFRA SIMÕES,COLAGOGOS E COLERETICOS,,,,
ALCACHOFRA TKS,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCACHOFRA VIDORA,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.,,,
ALCACHOFRA VITAMED,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCACHOFRA YANTEN,FITOTERAPICO SIMPLES,,,,
ALCACHOFRAX,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.,,,
ALCACHOL,FITOTERAPICO SIMPLES,,,,
ALCACHOYAN,FITOTERAPICO SIMPLES,,,,
ALCAFLOR,FITOTERAPICO COMPOSTO,,,,
ALCAFLOR UNO,FITOTERAPICO SIMPLES,,,,
ALCAGEST,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,CYNARA SCOLYMUS L.,,,
ALCAHERB,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCALERGIN,FITOTERAPICO SIMPLES,,,,
ALCALIS GEL,ANTIACIDO,,,,
ALCALONE PLUS,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,,,,
ALCANATAN,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,,,,
ALCATOSS  XAROPE,EXPECTORANTES + FITOTERAPICO SIMPLES,,,,
ALCAÇUZ FLORA MEDICINAL,FITOTERAPICO SIMPLES,,,,
ALCOLSTOP,ASSOCIACAO HOMEOPATICAS,,,,
"ALCOOL IODADO 0,1%",ANTISSEPTICO,,,,
ALCOOLATURA DE AGRIÃO + ASSOCIAÇÕES,PRODUTOS NATURAIS,,,,
ALCYTAM,ANTIDEPRESSIVOS,BROMIDRATO DE CITALOPRAM,,,
ALDACTONE,ANTI-HIPERTENSIVOS,,,,
ALDARA,IMUNOMODULADOR,,,,
ALDARIL,ANTI-HIPERTENSIVOS,,,,
ALDAZIDA,ANTI-HIPERTENSIVOS,,,,
